XAUUSD	0.000	0.000
EURUSD	1.10185	1.10193
GBPUSD	1.24458	1.24469
AUDUSD	0.66797	0.66809
NZDUSD	0.00000	0.00000
USDCAD	0.00000	0.00000
USDCHF	0.88956	0.88970
USDJPY	134.638	134.651
EURGBP	0.00000	0.00000
EURAUD	1.64948	1.64960
EURNZD	0.00000	0.00000
EURCAD	1.49292	1.49306
EURCHF	0.00000	0.00000
EURJPY	0.000	0.000
GBPAUD	0.00000	0.00000
GBPNZD	0.00000	0.00000
GBPCAD	0.00000	0.00000
GBPCHF	0.00000	0.00000
GBPJPY	0.000	0.000
AUDNZD	1.08741	1.08759
AUDCAD	0.90504	0.90519
AUDCHF	0.59415	0.59432
AUDJPY	89.926	89.939
NZDCAD	0.00000	0.00000
NZDCHF	0.00000	0.00000
NZDJPY	0.000	0.000
CADCHF	0.65651	0.65666
CADJPY	99.365	99.380
CHFJPY	151.337	151.360
